id,adi,soyadi,eposta,ceptel,dogumtarihi,dogumyeri_tilcelerid,cinsiyet,tckimlikno,kangrubu_tkangruplariid
5375,Fatma,KOL,fatma.kol35@gmail.com,5588154353,1994-12-15,34,f,75017262525,0
5376,Tomris Başak,ÖZSÜER,tomris başak.özsüer72@gmail.com,5562954296,1986-02-27,45,f,63987814463,0
5378,Sevim Bilge,KIZILKAN,sevim bilge.kızılkan52@gmail.com,5601332353,1989-05-20,31,f,96743356030,0
5380,Mehmet,YAMAN,mehmet.yaman65@gmail.com,5422181510,1981-04-11,34,t,97772212174,0
5381,Sertaç,YAVUZER,sertaç.yavuzer47@gmail.com,5544579446,2001-12-13,34,t,89139894641,0
5382,Burçin,AKPINAR,burçin.akpınar70@gmail.com,5557811624,1990-05-27,42,f,55654258848,0
5383,Ahmet Can,ŞİŞLİ,ahmet can.şişli72@gmail.com,5572906775,1995-01-10,52,t,78253900103,0
5384,Ayşenur,ŞİMŞEK,ayşenur.şimşek87@gmail.com,5591182434,1988-04-14,34,f,76991146250,0
5385,Canan,MUADİLİ,canan.muadili96@gmail.com,5581363254,1997-02-15,44,f,42484092802,0
5389,Enes,PELİSTER,enes.pelister57@gmail.com,5504977996,1988-10-18,38,t,96729075009,0
5393,Melike,AKÇİN,melike.akçin43@gmail.com,5511563700,1997-02-14,34,f,63888616173,0
5396,Çiğdem,YEŞİL,çiğdem.yeşil68@gmail.com,5352294436,1980-04-28,34,f,98814029171,0
5397,Kadir,ELÇEOĞLU MERCAN,kadir.elçeoğlu mercan46@gmail.com,5454998782,1991-04-01,34,t,31311229926,0
5399,Selin,ÖZDEMİR,selin.özdemir48@gmail.com,5415828183,1986-05-01,34,f,74577107261,8
5400,Mervegül,ÇOLAK DEMİR,mervegül.çolak demir63@gmail.com,5325353541,1985-05-15,38,f,29696129997,0
5402,Gizem,ALAM,gizem.alam17@gmail.com,5308068995,1987-10-22,39,f,75573035670,0
5404,Canan,TURA,canan.tura12@gmail.com,5508279460,1989-02-18,6,f,12971420595,3
5405,Sılanur,AĞ,sılanur.ağ88@gmail.com,5514455919,1999-05-03,7,f,19325787007,0
5406,Çağatay,KOÇAK,çağatay.koçak19@gmail.com,5503469617,1981-01-07,16,t,52893198173,0
5410,Esra,NAR,esra.nar73@gmail.com,5479030892,1996-12-25,16,f,91046761515,7
5416,Firuze Pelin,ÇAKIR,firuze pelin.çakır58@gmail.com,5466966402,2000-08-02,34,f,60192809408,5
5420,Abdullah,Y,abdullah.y69@gmail.com,5602785241,1986-02-17,34,t,89126822209,0
5421,Seçil,ARGINI,seçil.argını64@gmail.com,5594829743,1994-12-08,34,f,46858736248,0
5423,Rıdvan,ESİN,rıdvan.esin35@gmail.com,5577564772,1985-12-09,41,t,30603304805,0
5424,Aslı,BUSHAREMU,aslı.busharemu18@gmail.com,5326294409,2001-08-22,34,f,70367604372,0
5425,Mesut,MUSA,mesut.musa86@gmail.com,5399073531,1994-10-03,34,t,54510543382,0
5427,Ayşin,SEFEROĞLU,ayşin.seferoğlu83@gmail.com,5528966624,1994-04-06,6,f,34496838200,0
5428,Tuğba,ÖZKAN,tuğba.özkan94@gmail.com,5546637421,2001-04-05,49,f,99379239648,0
5429,Talha Serdar,BATUR,talha serdar.batur52@gmail.com,5491318156,1990-10-20,16,t,36458588057,0
5431,Erdem,DÜLGER,erdem.dülger44@gmail.com,5463542508,1998-12-22,31,t,24186697825,0
5432,Özlem,KENDİR,özlem.kendir42@gmail.com,5313759944,1987-08-22,49,f,44486289325,0
5433,Muharrem,GÖKÇE,muharrem.gökçe40@gmail.com,5605103229,1995-09-27,76,t,39498512797,0
5434,Sencan,KÖSE,sencan.köse49@gmail.com,5303916903,1988-10-12,6,f,26314791219,0
5437,Furkan Cem,ALTUNDİS,furkan cem.altundis95@gmail.com,5461088358,1998-10-15,34,t,17083993209,0
5438,Özgür,USMAN IMAM,özgür.usman ımam73@gmail.com,5455359738,1999-11-26,2,t,94212955283,0
5441,Macide,CEBECİ,macide.cebeci80@gmail.com,5511476868,1985-01-04,31,f,30492048193,0
5443,Dilberay,ÇANKAYA,dilberay.çankaya78@gmail.com,5493755917,1981-12-22,35,f,70631011718,0
5446,Zehra,SARI,zehra.sarı64@gmail.com,5407423787,1989-03-22,34,f,80355176205,0
5448,Giray,ŞENTÜRK,giray.şentürk67@gmail.com,5565608605,1995-01-13,34,t,21085301331,0
5449,Arzu,AYVAZ,arzu.ayvaz35@gmail.com,5407910755,1983-03-28,78,f,38628945131,0
5453,Selim,SOR,selim.sor57@gmail.com,5501962757,2001-04-17,34,t,30190495431,0
5455,Tuğba,KURT,tuğba.kurt76@gmail.com,5475209557,1987-09-22,34,f,94425980050,0
5456,Safiye Gökçe,YALÇINTAŞ,safiye gökçe.yalçıntaş77@gmail.com,5444680707,1998-09-20,34,f,18290711785,0
5458,Tunç,ŞENOĞLUGİL,tunç.şenoğlugil66@gmail.com,5536249897,1982-02-08,34,t,24868328913,0
5460,Ömercan,ZENGİN,ömercan.zengin12@gmail.com,5591620394,1990-10-18,67,t,38968600842,0
5464,Orçun,KÜÇÜKSOLAK,orçun.küçüksolak29@gmail.com,5436749661,1992-01-23,35,t,79115703587,0
5465,Bahar,DAŞBİLEK,bahar.daşbilek39@gmail.com,5513263696,2000-08-19,34,f,37025259366,0
5469,Ahmet,YILDIRIM,ahmet.yıldırım77@gmail.com,5473969761,1993-02-26,34,t,45230292783,0
5470,Eren,FAZLIOĞLU,eren.fazlıoğlu52@gmail.com,5408684758,1990-11-12,34,t,69391978175,0
5471,Alper,BAYRAM,alper.bayram14@gmail.com,5447392523,1983-01-07,35,t,17796857591,0
5473,Işıl,ERALP,ışıl.eralp38@gmail.com,5554339407,2002-03-12,35,f,47032508823,0
5474,Asım Can,AKSÖZ,asım can.aksöz58@gmail.com,5421395236,1987-03-08,63,t,34706034550,0
5476,Seda,SHAYAKHMET,seda.shayakhmet25@gmail.com,5371409185,1982-11-24,23,f,28493297743,0
5477,Cengiz,KILIÇ,cengiz.kılıç87@gmail.com,5552390558,1981-02-07,34,t,21223153533,0
5478,İpek,ESEN,ipek.esen59@gmail.com,5384871461,1999-12-10,54,f,73427870983,0
5480,Muhammet Fatih,ÖZDEMİR,muhammet fatih.özdemir26@gmail.com,5391529320,1982-03-04,21,t,19726025597,0
5481,Buket,SUNALP,buket.sunalp18@gmail.com,5483127321,1981-01-01,6,f,56650423023,0
5482,Eyüp,LODDO,eyüp.loddo64@gmail.com,5452659428,1999-09-06,58,t,98464310610,0
5483,Burak,GÜNAYDIN,burak.günaydın57@gmail.com,5413621515,1997-10-24,34,t,10526712812,0
5484,Süleyman,ÖNCEL,süleyman.öncel90@gmail.com,5481060430,1990-04-21,21,t,78391374052,0
5486,Melek,AYDOĞDU,melek.aydoğdu30@gmail.com,5421407848,1989-12-14,38,f,71160686473,0
5488,Kübra,BALIKCI,kübra.balıkcı70@gmail.com,5317737441,1990-12-24,6,f,25479617970,0
5491,Cansu,ABU AWWAD,cansu.abu awwad46@gmail.com,5405327881,1983-11-09,34,f,58048001131,0
5492,Yıldız,BALCI FİSUNOĞLU,yıldız.balcı fisunoğlu62@gmail.com,5568795406,1998-03-03,34,f,25593812310,0
5493,Sena Hatun,ÇAPKIN,sena hatun.çapkın49@gmail.com,5557905613,1999-08-04,34,f,82575593168,0
5494,Ercan,ÖZDEMİR,ercan.özdemir62@gmail.com,5508400108,1982-09-02,65,t,60087029338,0
5496,Haluk,YILMAZ,haluk.yılmaz91@gmail.com,5398227709,2002-08-12,34,t,15494625196,0
5497,Ertan,ÖNER,ertan.öner74@gmail.com,5554543363,1987-08-10,34,f,41415864076,0
5498,Osman,YILMAZ,osman.yılmaz77@gmail.com,5417743825,2001-04-26,10,t,12298374237,0
5499,Gizem,BULUT,gizem.bulut66@gmail.com,5498774999,2003-06-15,16,f,56033581837,0
5500,Özlem,BİLGEN,özlem.bilgen16@gmail.com,5353415393,1986-09-10,16,f,93683823478,0
5501,Cihat,SELAHİ,cihat.selahi91@gmail.com,5393122407,1983-07-22,38,t,75142598587,0
5502,Ümra Cenan,AYTEKİN,ümra cenan.aytekin80@gmail.com,5509012181,1986-09-15,34,f,92515262063,0
5503,Ahmet Can,MEMİŞ,ahmet can.memiş27@gmail.com,5366083259,2001-08-02,45,t,80478979751,0
5504,Türküler,BALCI,türküler.balcı89@gmail.com,5502872274,1990-09-08,34,f,88493409340,0
5506,Murat,GÜLTUNCA,murat.gültunca66@gmail.com,5461701624,2001-07-15,60,f,33226441806,0
5507,Kerem,TÜYSÜZ,kerem.tüysüz29@gmail.com,5482168787,1990-04-06,6,t,83422289588,0
5508,Betül,KOÇ,betül.koç21@gmail.com,5447984916,1995-11-27,34,f,37011426837,0
5509,Funda,OYLUM,funda.oylum61@gmail.com,5324466804,1993-01-10,34,f,56905281744,0
5510,Abdulkadir Can,TANRIKUT,abdulkadir can.tanrıkut72@gmail.com,5342826183,1992-02-01,2,t,36935776275,0
5513,Musa,YAVAŞ,musa.yavaş89@gmail.com,5332224715,1981-04-22,52,t,33261703811,0
5514,Engin,VARINCA,engin.varınca79@gmail.com,5414723579,1982-09-10,41,t,25717790809,0
5516,Evrim,Y,evrim.y59@gmail.com,5362725990,1997-06-02,34,f,22777800010,0
5518,Betül,KARAMAN,betül.karaman18@gmail.com,5432804188,1996-12-01,34,f,43669034488,0
5519,Gamze,SAÇLİ,gamze.saçli94@gmail.com,5445925998,1999-11-23,34,f,54296627307,0
5523,Bengü Su,BEYAZÇİÇEK,bengü su.beyazçiçek70@gmail.com,5476875954,1982-06-16,16,f,15954805378,0
5526,Sibel,TURAN,sibel.turan19@gmail.com,5558535757,1986-10-19,34,f,68429320863,0
5528,Erdem,YAZICI,erdem.yazıcı11@gmail.com,5371146288,1998-12-27,34,t,42638691229,0
5529,Satı,KALKAVAN,satı.kalkavan36@gmail.com,5383819401,1985-01-21,66,f,45233628558,0
5532,SERAP,ÇAKIR,serap.çakır72@gmail.com,5339015713,1985-01-20,58,f,15394956492,0
5535,Selçuk,BULUT,selçuk.bulut65@gmail.com,5344516551,1984-08-08,42,t,45590228585,0
5537,Halis,PARLAK,halis.parlak59@gmail.com,5421351744,2000-02-28,34,t,59519832606,7
5538,Şükrü,ERKAN,şükrü.erkan42@gmail.com,5561108469,1985-07-25,34,t,73134636444,0
5539,Ali Aydın,USTA,ali aydın.usta91@gmail.com,5487059235,1991-01-14,58,t,57907780660,0
5543,Mehriban,BAYLAN,mehriban.baylan24@gmail.com,5442760179,1994-02-23,1,f,73920689696,0
5544,Eser,Y,eser.y49@gmail.com,5396762227,2001-01-18,56,f,53397272624,0
5546,Tuğçe,IŞIKÖZLÜ,tuğçe.ışıközlü40@gmail.com,5573101254,1996-08-25,34,f,54600789068,0
5548,Çiğdem,SAĞCAN,çiğdem.sağcan77@gmail.com,5306236939,1980-07-12,81,f,53800731819,0
5553,Ayşe Betül,KAYA,ayşe betül.kaya52@gmail.com,5307388893,1982-06-23,34,f,22200043424,0
5555,Pelin,ÖZTÜRK,pelin.öztürk24@gmail.com,5583286909,2000-09-16,23,f,76683100242,0
5556,Hande,CYSE,hande.cyse12@gmail.com,5381710176,1986-02-27,34,f,62357862218,0
5557,Feyza,FİRUZAN,feyza.firuzan53@gmail.com,5345380128,1990-04-13,5,f,67035315282,8
5558,Burcu,BİLGİLİ,burcu.bilgili96@gmail.com,5422700399,1990-03-24,41,f,52371032308,0
5560,Abdurrahman,PAYDAŞ,abdurrahman.paydaş65@gmail.com,5568318437,1980-12-20,63,t,34936940003,0
5561,Burcu,GRANT,burcu.grant93@gmail.com,5538118806,1981-02-28,34,f,81118487650,0
5562,Kadir,ÖZYALÇIN,kadir.özyalçın32@gmail.com,5426360979,2003-03-25,34,t,88645548940,0
5564,Gökhan,EYUBOĞLU,gökhan.eyuboğlu26@gmail.com,5352540536,2000-01-28,58,t,26537749169,0
5566,Mustafa,ZEYTİNOĞLU,mustafa.zeytinoğlu86@gmail.com,5557843134,1982-06-21,42,t,32922601245,0
5568,Mustafa,İBRAHİM MOHAMED,mustafa.ibrahim mohamed16@gmail.com,5564799687,1996-12-01,7,t,67785087057,0
5569,Şura,FEEHLY,şura.feehly40@gmail.com,5512850213,2001-12-25,21,f,67363513920,0
5573,Cemre Arif,PEKER,cemre arif.peker56@gmail.com,5488700428,1990-06-11,34,t,90374135983,0
5575,Merve,IBRAHIMLI,merve.ıbrahımlı18@gmail.com,5527679941,1985-03-12,41,f,85027098185,0
5581,Özge,ÇALİN,özge.çalin22@gmail.com,5413583463,1995-02-03,34,f,85505366728,0
5582,Tuğba,KAŞMER,tuğba.kaşmer11@gmail.com,5487541281,1998-07-28,22,f,66620100253,0
5583,Osman,KAPLAN,osman.kaplan20@gmail.com,5337611949,2000-05-10,34,t,45602183831,0
5584,Sezgi,KUVVETLİ,sezgi.kuvvetli98@gmail.com,5443759337,1994-05-20,77,f,22628818456,0
5586,Ferda,BOZAN,ferda.bozan97@gmail.com,5366857126,1984-10-14,1,f,13248288922,0
5588,Berker,ZAİM,berker.zaim61@gmail.com,5512950439,2001-04-15,41,t,72552495642,0
5589,Sezer,AYDIN,sezer.aydın54@gmail.com,5588499130,1992-04-08,25,t,62999637140,0
5590,Ahmet Emin,DEMİRBAŞ,ahmet emin.demirbaş61@gmail.com,5377699567,2000-02-18,34,t,87821569209,7
5591,Yaşar,BACAK,yaşar.bacak74@gmail.com,5407164312,1983-12-25,33,t,33704278322,0
5593,Ecem,Y,ecem.y33@gmail.com,5307777403,1993-10-17,34,f,73954736433,0
5597,Selma,ÖZLER,selma.özler98@gmail.com,5445103659,1993-12-19,11,f,16719337925,0
5598,Yavuz,PEKER,yavuz.peker10@gmail.com,5353389344,1980-01-11,7,t,45183899871,7
5599,Pelin,AİZEZİ,pelin.aizezi78@gmail.com,5367387181,1991-07-26,34,f,41051173227,0
5602,Nail,KÜLÇÜR,nail.külçür39@gmail.com,5518947149,1987-09-04,34,t,36985769774,0
5603,Aleyna,RAZEGHİ,aleyna.razeghi27@gmail.com,5588742597,1980-12-19,1,f,67714457042,0
5604,Binnur,TOSYALI,binnur.tosyalı93@gmail.com,5497224347,1999-12-14,74,f,81523422245,0
5607,Vahdet Hüseyin,BOZKIR,vahdet hüseyin.bozkır57@gmail.com,5313682966,1985-05-14,34,t,34442887569,0
5609,Mehmet Nuri,MERT,mehmet nuri.mert25@gmail.com,5499085821,2002-08-12,4,t,74548209686,0
5610,Nesibe,CHALİMBA,nesibe.chalimba53@gmail.com,5503703501,2002-08-17,25,f,19106489552,0
5611,Erkan,DİNCER,erkan.dincer95@gmail.com,5494053116,1983-09-28,12,t,70128104572,0
5612,İlknur,GÜR,ilknur.gür62@gmail.com,5442547612,1991-09-10,17,f,11286056591,0
5616,Emine Kevser,GÖKGÖZ,emine kevser.gökgöz23@gmail.com,5443734430,1981-01-20,34,f,82064712479,0
5617,Özge Hande,MERİÇ,özge hande.meriç50@gmail.com,5348224222,1990-02-15,34,f,19292866449,0
5618,Muhammet,ODABAŞI,muhammet.odabaşı73@gmail.com,5351804562,1996-05-09,34,t,49104982479,0
5621,Serap,TEKİN,serap.tekin27@gmail.com,5353668108,1981-01-10,34,f,38325706207,0
5624,Mehmet,İÇEL,mehmet.içel61@gmail.com,5567252241,1997-07-03,34,t,89321049024,0
5625,Suheyla,YILDIZOĞLU,suheyla.yıldızoğlu29@gmail.com,5382721578,1983-10-05,34,f,82404302460,0
5629,Süleyman Girayhan,SAĞMAN,süleyman girayhan.sağman48@gmail.com,5465928243,1999-11-10,52,t,28734269907,0
5630,Merve,YARIMOĞLU,merve.yarımoğlu85@gmail.com,5562967632,1992-10-16,34,f,63969446124,0
5631,Fürüzan,ÖZBEK,fürüzan.özbek54@gmail.com,5561296959,1990-06-18,34,f,96550161743,0
5633,Hülya,AKSAK,hülya.aksak22@gmail.com,5505907390,1991-06-03,34,f,63214372920,0
5634,Aziz Sancar,BAL,aziz sancar.bal73@gmail.com,5475333787,2001-09-09,54,t,84309674545,0
5636,Meliha,GÜRBÜZ,meliha.gürbüz66@gmail.com,5504286359,1995-06-20,34,f,30265984384,1
5641,Esendal,GULIZIRE,esendal.gulızıre41@gmail.com,5502239256,1992-01-03,19,f,89903634589,0
5642,Abdullah,KARAKURT,abdullah.karakurt67@gmail.com,5456315827,2001-05-27,74,t,41664482982,0
5643,Elçin,PAZARÇEVİREN,elçin.pazarçeviren31@gmail.com,5533772987,1987-08-11,34,f,54742607315,0
5644,Emine Benan,GÜNEŞ,emine benan.güneş63@gmail.com,5416996670,1998-09-07,34,f,65638016959,0
5645,Çetin,AKAY,çetin.akay78@gmail.com,5571373728,2003-04-08,25,t,14154712409,0
5646,Zehra,EZZALDEEN SERAG MEKKİ,zehra.ezzaldeen serag mekki79@gmail.com,5474585323,1982-04-22,31,f,52698618146,0
5647,Talha Yiğit,ŞENSÖZ,talha yiğit.şensöz88@gmail.com,5321294778,1984-08-09,42,t,25122758544,0
5648,Süleyman,YILMAZ,süleyman.yılmaz19@gmail.com,5578586204,1990-07-25,7,t,31693157595,0
5649,Şeyma,SARAR,şeyma.sarar73@gmail.com,5323239231,1989-02-26,34,f,12553276361,0
5650,Vedat,ALAEV,vedat.alaev57@gmail.com,5487276269,1984-01-27,21,t,40126395427,0
5652,Merve,KOTİLOĞLU,merve.kotiloğlu56@gmail.com,5458895102,1994-06-16,34,f,38293663855,0
5655,Ceyda,ŞİRİNOĞLU,ceyda.şirinoğlu70@gmail.com,5402778762,1983-12-10,22,f,62771004035,0
5656,Okan,AKTAŞ,okan.aktaş17@gmail.com,5377516172,1994-06-04,34,t,76772092112,0
5657,Gönül,KIRIK,gönül.kırık73@gmail.com,5476888360,1985-02-22,6,f,67151843903,0
5658,Cansu,HASSANI,cansu.hassanı17@gmail.com,5317536789,2000-08-23,9,f,45222919517,0
5661,Gözde,UĞURLUOĞLU,gözde.uğurluoğlu 22@gmail.com,5357785455,1997-01-01,34,f,13860067972,0
5663,Gulfer,YARKIN,gulfer.yarkın29@gmail.com,5494509329,1999-07-02,34,f,17819871909,0
5664,Cihan,BÜYÜKBOSTANCI,cihan.büyükbostancı75@gmail.com,5327184231,1990-08-16,34,t,10483578857,0
5665,Ali İhsan,ÇAYHAN,ali ihsan.çayhan96@gmail.com,5532540472,1989-03-07,1,t,60036857116,0
5666,Miraç,BİLGİÇ,miraç.bilgiç57@gmail.com,5372951570,1993-06-17,53,t,12569300788,0
5667,Remzi,BULDU,remzi.buldu28@gmail.com,5525221782,2002-01-17,17,t,84517156561,0
5668,Ramazan,GÜLTAKAN,ramazan.gültakan79@gmail.com,5563351679,1988-10-27,31,t,92262935095,0
5669,Eser,YILDIRIM,eser.yıldırım96@gmail.com,5504592497,2000-05-20,52,t,42584976670,0
5672,Erdinç Anıl,AYDIN,erdinç anıl.aydın93@gmail.com,5322361516,1987-05-22,34,t,79714438582,1
5674,Volkan,TARCAN,volkan.tarcan58@gmail.com,5322877148,1996-11-04,25,t,81562840825,0
5676,Aynur,ÇİZMECİOĞLU,aynur.çizmecioğlu26@gmail.com,5594035483,1998-01-17,41,f,63482597709,0
5677,Jülide Başak,ONUR,jülide başak.onur41@gmail.com,5561868574,1980-07-08,16,f,45820267676,0
5680,İbrahim Kaan,CANSU,ibrahim kaan.cansu89@gmail.com,5308325418,1984-03-12,33,t,46755896854,0
5683,Nursel,ALKURU,nursel.alkuru63@gmail.com,5321199161,1998-09-18,28,f,34755788879,0
5685,Emine Tomrun,GÜLEN,emine tomrun.gülen46@gmail.com,5573896968,1996-11-14,75,f,13814217033,0
5688,Tolga,ÇAĞLAYAN,tolga.çağlayan16@gmail.com,5472668152,1985-06-12,35,t,85319791667,0
5689,Zeynep,DERE,zeynep.dere69@gmail.com,5332435243,2003-08-18,16,f,64889135015,0
5690,Kamil Hakan,Y,kamil hakan.y35@gmail.com,5546876687,1993-07-28,44,t,39555890019,0
5692,Emre,TEKNEOĞLU,emre.tekneoğlu89@gmail.com,5575607603,1988-01-26,34,t,97477098938,8
5693,nca,SAATÇİOĞLU,nca.saatçioğlu69@gmail.com,5608279934,1990-01-07,28,f,75492454382,0
5694,Ümmü Gülsüm,İVECEN,ümmü gülsüm.ivecen91@gmail.com,5435696807,2001-04-08,34,f,44051832627,0
5695,İlknur,ARSLAN,ilknur.arslan99@gmail.com,5547957220,1996-09-01,34,f,90858697944,0
5696,Betül,ÖZCAN,betül.özcan30@gmail.com,5446870309,1980-06-27,27,f,36197945775,0
5698,Kasım Can,TAN,kasım can.tan17@gmail.com,5442855154,1993-12-22,54,t,16924851226,0
5701,Yekta,WUMAIERJIANG,yekta.wumaıerjıang80@gmail.com,5441024657,1994-11-09,47,f,39588425044,0
5702,Hayal,DEMİRKAYNAK,hayal.demirkaynak84@gmail.com,5335718235,1985-04-24,48,f,80379853845,0
5703,Gamze,AKKOÇ,gamze.akkoç65@gmail.com,5325224811,2002-12-24,1,f,50432116887,0
5705,Gurbet,GİRİT,gurbet.girit42@gmail.com,5337512208,1989-06-27,38,f,34549546652,0
5707,Nurver,AÇIL,nurver.açıl31@gmail.com,5431107621,1993-03-11,59,f,94501412814,0
5708,Emre,VONA GERÇİK,emre.vona gerçik99@gmail.com,5514622217,2003-08-25,35,t,20831236620,0
5713,Mümin,DEMİR,mümin.demir77@gmail.com,5548502531,1989-07-25,77,t,91370649116,1
5714,Suat Can,KHUANGANOV,suat can.khuanganov90@gmail.com,5314615479,1992-12-23,34,t,95548645928,0
5716,Merve,UNGEVER,merve.ungever50@gmail.com,5486560784,1996-02-10,34,f,37323735945,0
5717,Burcu,SAĞLAM,burcu.sağlam41@gmail.com,5412030574,1998-04-28,34,f,38797079693,0
5718,Betül,ALİ HASSANİ,betül.ali hassani79@gmail.com,5607875428,1986-05-05,72,f,57763178249,0
5719,Oya,AKSOY,oya.aksoy64@gmail.com,5436154636,1988-08-12,34,f,89563125859,0
5723,Betül,ABDULLAH,betül.abdullah47@gmail.com,5377337851,1996-06-08,32,f,56477281600,0
5724,"Hali,me Çiğdem",TEKİN,"hali,me çiğdem.tekin32@gmail.com",5501557510,1989-10-11,6,f,28421675207,0
5728,Ezgi,TURAN,ezgi.turan99@gmail.com,5367700314,1994-06-04,34,f,23911165489,0
5729,Gökhan,ÜNLÜ,gökhan.ünlü76@gmail.com,5362034824,1991-02-04,10,t,34512660667,0
5730,Aysu,ŞAFAK,aysu.şafak16@gmail.com,5608589630,1986-08-22,67,f,29017649561,0
5731,Elif,SEVİÇ,elif.seviç45@gmail.com,5463073880,1988-04-10,53,f,89309428793,0
5733,Gökhan,ÇOLAK,gökhan.çolak48@gmail.com,5478387122,1994-11-17,50,t,35646608219,0
5735,Yunus Emre,AVCI,yunus emre.avcı41@gmail.com,5356606405,1998-01-25,34,t,84919416545,0
5736,Ahmet,GÜNGÖR,ahmet.güngör45@gmail.com,5454550621,1994-11-15,55,t,72675042220,0
5737,Uğur,Y,uğur.y90@gmail.com,5441519546,1995-11-24,10,t,28919109202,0
5740,Özde,ÇAY,özde.çay12@gmail.com,5548074168,2001-02-06,17,f,80101541829,0
5741,Irmak Refika,MUSTAFA,ırmak refika.mustafa77@gmail.com,5584143929,1995-10-23,48,f,27733819936,0
5742,Metehan,BAŞOL,metehan.başol79@gmail.com,5438883342,2001-07-12,34,t,75572475327,0
5744,Özden,BOYACIOĞLU,özden.boyacıoğlu61@gmail.com,5301079144,2001-06-11,34,f,94698941434,0
5747,Hazal,EYİ,hazal.eyi12@gmail.com,5447933182,1980-02-28,34,f,93704114380,0
5748,Ömer,VURAN,ömer.vuran12@gmail.com,5406309113,1985-02-10,31,t,38234705976,0
5750,Haldun,ONUR,haldun.onur54@gmail.com,5504142909,2002-10-19,34,t,98405651288,0
5754,Zelhen,KERTİŞ,zelhen.kertiş68@gmail.com,5303472731,2002-11-28,34,f,42130459764,0
5755,Ilkem Ayşe,KAZANCIOĞLU,ılkem ayşe.kazancıoğlu48@gmail.com,5547152341,1981-01-24,22,f,66002239499,0
5760,Sami,Orta,sami.orta16@gmail.com,5568950287,1992-09-15,60,t,29195922171,0
5761,Yusuf,ALTINTAŞ,yusuf.altıntaş53@gmail.com,5492858493,1981-12-07,34,t,99158390242,0
5763,Fatih,BAŞAR,fatih.başar23@gmail.com,5593182388,1985-08-12,34,f,15422595894,0
5765,Hande,KUROĞLU,hande.kuroğlu28@gmail.com,5394784615,2002-05-14,34,f,18331882611,0
5766,Sinan,ERDOĞAN,sinan.erdoğan74@gmail.com,5576500723,2000-12-03,34,t,13018583248,7
5768,Harun Zeki,TÜTENK,harun zeki.tütenk79@gmail.com,5528758259,1987-03-08,52,t,63444899111,1
5772,Lokman,KAYA,lokman.kaya67@gmail.com,5461240817,1996-06-21,29,t,62040204860,0
5773,Kürşat Hakan,KARA,kürşat hakan.kara72@gmail.com,5388557542,1998-06-12,34,t,20858259327,0
5778,Emin Bünyamin,KAYA,emin bünyamin.kaya50@gmail.com,5345571542,1983-01-13,33,t,27385904359,0
5780,Ahmet Selim,Y,ahmet selim.y71@gmail.com,5327381760,1991-12-22,55,t,64340981911,0
5781,İlhan,ECEVİŞ,ilhan.eceviş44@gmail.com,5344402429,1988-07-20,55,t,44538047329,0
5782,Dursun Ogün,SARIHAN,dursun ogün.sarıhan29@gmail.com,5306748520,1985-06-07,55,t,18886367400,0
5784,Gamzenur,ÖNDER,gamzenur.önder43@gmail.com,5504285656,1980-09-07,25,f,52191527850,0
5789,Döndü,KİLİC,döndü.kilic63@gmail.com,5408891505,1995-08-25,70,f,30223971176,0
5793,Mustafa,AKBAĞ,mustafa.akbağ11@gmail.com,5454982158,1986-09-21,42,t,84954666523,0
5794,Burak,YILMAZ,burak.yılmaz13@gmail.com,5576428266,1999-02-19,28,t,65972011731,0
5795,Atilla,ARSLAN,atilla.arslan94@gmail.com,5396616974,1995-12-13,41,t,56280247114,0
5797,Burcu,KARAKAYA,burcu.karakaya30@gmail.com,5556781240,2003-05-07,34,f,66396980565,0
5799,Aliye,ÖZDEMİR,aliye.özdemir52@gmail.com,5431403779,1995-04-05,9,f,53298773921,5
5800,Özlem,EVCİ,özlem.evci95@gmail.com,5507905442,1991-04-07,34,f,35408702523,0
5804,Gamze,MENTEŞE,gamze.menteşe64@gmail.com,5324154145,1994-10-13,34,f,54260302267,0
5806,Pelin,ERGİNSOY,pelin.erginsoy61@gmail.com,5342129781,1987-10-15,34,f,42091156243,0
5807,Nur Sema,ALTINKAYA ULUĞ,nur sema.altınkaya uluğ12@gmail.com,5377314264,2000-07-10,34,f,30482318349,0
5809,Mehmet,PEHLİVAN,mehmet.pehlivan30@gmail.com,5328570651,1998-06-23,2,t,20143932890,0
5810,Cihangir,KAMIŞLI,cihangir.kamışlı27@gmail.com,5585399277,1990-09-11,58,t,17331199224,0
5811,Hasan Ülvi,YILDIRIM,hasan ülvi.yıldırım25@gmail.com,5563481854,1995-01-01,61,t,28924006249,0
5814,Serhat,AKYOKUŞ,serhat.akyokuş47@gmail.com,5443670305,2003-02-06,31,t,91139761184,0
5816,Necmettin,ÇELİK,necmettin.çelik79@gmail.com,5413384906,1990-10-10,34,t,81177909611,0
5818,Zeynep,MIRZAYEVA,zeynep.mırzayeva92@gmail.com,5606974233,1997-01-13,6,f,66898973830,6
5819,Resul,KATI,resul.katı81@gmail.com,5468590982,1996-02-17,34,t,70979280509,0
5821,Burcu,ATAŞ,burcu.ataş 65@gmail.com,5351382719,1999-01-02,34,f,74087487951,0
5823,Ayşe,TAŞÇI,ayşe.taşçı15@gmail.com,5415267481,2000-05-28,35,f,89560779260,0
5824,Yunus,ÖZTÜRK,yunus.öztürk28@gmail.com,5334251667,1989-11-22,34,t,72306039270,0
